VALUE_CODE,OFFER_IDS,OFFER_LIST_RECM,CONF
101,800500000152,800500000150,0.166666666667
101,800500000150,800500000152,0.0833333333333
101,800500012096,800500012011,0.5
101,800500012011,800500012096,0.0126582278481
101,800500012032,800500000150,0.5
101,800500000150,800500012032,0.0833333333333
101,800500012018,800500012011,0.5
101,800500012011,800500012018,0.0253164556962
101,800500113094,800500000150,0.2
101,800500000150,800500113094,0.0833333333333
101,800500110115,800500000150,0.5
101,800500000150,800500110115,0.0833333333333
101,800500012011,800500000150,0.0632911392405
101,800500000150,800500012011,0.416666666667
101,800500012011,800500000152,0.0253164556962
101,800500000152,800500012011,0.333333333333
101,800500012011,800500012004,0.0126582278481
101,800500012004,800500012011,0.5
101,800500012011,800500012032,0.0126582278481
101,800500012032,800500012011,0.5
101,800500012011,800500110115,0.0126582278481
101,800500110115,800500012011,0.5
101,800500113094,800500110115,0.4
101,800500110115,800500113094,1.0
101,800500113094,800500012011,0.4
101,800500012011,800500113094,0.0253164556962
101,800500012011#800500113094,800500110115,0.5
101,800500113094#800500110115,800500012011,0.5
101,800500012011#800500110115,800500113094,1.0
101,800500113094,800500012011#800500110115,0.2
101,800500012011,800500113094#800500110115,0.0126582278481
101,800500110115,800500012011#800500113094,0.5
101,800500012011#800500113094,800500000150,0.5
101,800500113094#800500000150,800500012011,1.0
101,800500012011#800500000150,800500113094,0.2
101,800500012011,800500113094#800500000150,0.0126582278481
101,800500113094,800500012011#800500000150,0.2
101,800500000150,800500012011#800500113094,0.0833333333333
101,800500113094#800500110115,800500000150,0.5
101,800500113094#800500000150,800500110115,1.0
101,800500110115#800500000150,800500113094,1.0
101,800500110115,800500113094#800500000150,0.5
101,800500113094,800500110115#800500000150,0.2
101,800500000150,800500113094#800500110115,0.0833333333333
010,800500000152,800500000150,0.173913043478
010,800500000150,800500000152,0.129032258065
010,800500012018,800500110115,0.166666666667
010,800500110115,800500012018,0.25
010,800500012018,800500000152,0.166666666667
010,800500000152,800500012018,0.0434782608696
010,800500012011,800500110117,0.0178571428571
010,800500110117,800500012011,1.0
010,800500012011,800500012004,0.0357142857143
010,800500012004,800500012011,0.666666666667
010,800500012011,800500012104,0.0178571428571
010,800500012104,800500012011,0.5
010,800500110115,800500000152,0.25
010,800500000152,800500110115,0.0434782608696
010,800500012018,800500012104,0.166666666667
010,800500012104,800500012018,0.5
010,800500000150,800500110117,0.0322580645161
010,800500110117,800500000150,1.0
010,800500012032,800500000150,0.2
010,800500000150,800500012032,0.0322580645161
010,800500012004,800500000150,0.333333333333
010,800500000150,800500012004,0.0322580645161
010,800500012104,800500012004,0.5
010,800500012004,800500012104,0.333333333333
010,800500110115,800500000150,0.25
010,800500000150,800500110115,0.0322580645161
010,800500012018,800500012004,0.166666666667
010,800500012004,800500012018,0.333333333333
010,800500012032,800500000152,0.2
010,800500000152,800500012032,0.0434782608696
010,800500113170,800500000150,1.0
010,800500000150,800500113170,0.0322580645161
010,800500012018,800500012032,0.166666666667
010,800500012032,800500012018,0.2
